subject,7-up,7-down,GAD-7,BIS,BAS,SHAPS,PSWQ,Acc,Pts,WS,LS,Pers,beta,eta_p,eta_n,kappa,gad7_q01,gad7_q02,gad7_q03,gad7_q04,gad7_q05,gad7_q06,gad7_q07,gad7_q08,gad7_rt,7u7d_q01,7u7d_q02,7u7d_q03,7u7d_q04,7u7d_q05,7u7d_q06,7u7d_q07,7u7d_q08,7u7d_q09,7u7d_q10,7u7d_q11,7u7d_q12,7u7d_q13,7u7d_q14,7u7d_q15,7u7d_rt,bisbas_q01,bisbas_q02,bisbas_q03,bisbas_q04,bisbas_q05,bisbas_q06,bisbas_q07,bisbas_q08,bisbas_q09,bisbas_q10,bisbas_q11,bisbas_q12,bisbas_q13,bisbas_rt,pswq_q01,pswq_q02,pswq_q03,pswq_rt,shaps_q01,shaps_q02,shaps_q03,shaps_q04,shaps_q05,shaps_q06,shaps_q07,shaps_q08,shaps_q09,shaps_q10,shaps_q11,shaps_q12,shaps_q13,shaps_q14,shaps_q15,shaps_rt
02hfkd0x4jtnoiwsds69adoq,14,9,1,9,11,2,4,0.6777777777777778,80.0,0.475,0.5555555555555556,0.1733333333333333,4.54636,0.07695175,0.008915365,0.7923450671424096,0,1,0,0,0,0,0,0,31.149,2,1,2,2,0,2,3,1,2,3,2,1,2,0,0,107.252,2,3,2,2,1,1,1,2,1,1,1,3,3,108.18,1,2,1,37.384,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,54.828
02rwq76tp9lcye8vrl41llnh,12,11,15,7,17,13,6,0.3888888888888889,38.0,0.7297297297297297,0.8076923076923077,0.28,2.804795,0.8349439999999999,0.9575445,-0.06839681258764,2,1,3,3,2,3,1,2,64.924,3,1,1,2,1,2,1,2,2,2,1,2,1,2,1,94.724,1,2,3,1,3,3,2,2,1,2,2,2,2,85.702,3,2,1,23.108,1,2,0,2,1,1,0,2,1,1,1,0,0,1,1,68.595
0a8zkiu9rpf0mxo0h9ecdyzh,1,5,11,5,17,10,7,0.7666666666666667,68.0,0.9552238805970148,0.9545454545454546,0.1466666666666666,7.483729999999999,0.508517,0.963607,-0.3091383606272297,2,3,0,1,1,2,2,0,35.396,0,1,0,0,2,0,0,1,1,0,1,0,0,0,0,80.321,1,1,2,1,2,2,1,2,2,3,2,3,3,59.573,3,2,2,10.685,1,1,1,1,1,0,1,1,0,1,1,0,1,0,3,74.198
0do1x8qmwi6ok206agh1xqwb,10,9,0,12,21,17,3,0.6444444444444445,57.0,1.0,0.6060606060606061,0.24,11.0869,0.6784665,0.9716145,-0.1776567332149149,0,0,0,0,0,0,0,0,14.695,2,2,2,1,1,2,1,1,1,1,1,1,1,2,1,25.078,3,3,3,3,3,3,3,3,3,2,2,2,2,21.654,1,1,1,8.589,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,38.256
0g4fx9g2wryeio74yzgqwpq8,0,0,0,9,14,12,1,0.7222222222222222,58.0,1.0,0.625,0.24,12.63825,0.8068,0.833412,-0.0162247319248975,0,0,0,0,0,0,0,0,15.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.109,2,2,3,2,2,1,1,2,2,2,2,2,3,59.182,1,0,0,10.294,1,1,1,1,1,1,1,1,1,0,1,0,1,1,3,49.863
0imgqq6qokryvins8vmkeh7v,9,4,4,9,14,10,1,0.5666666666666667,50.0,0.88,0.9743589743589745,0.2133333333333333,2.810735,0.7872325,0.947144,-0.0922011454836939,1,1,1,1,0,0,0,0,85.299,1,1,1,1,0,1,2,1,1,0,1,1,2,0,0,232.128,3,3,2,1,1,1,1,2,2,2,2,3,3,95.755,0,0,1,20.465,2,0,0,0,1,1,1,1,1,0,1,1,1,0,2,124.085
0k1tzkzdb7dvx6z9q0nyovde,2,3,0,7,14,14,0,0.6555555555555556,51.0,1.0,0.3846153846153846,0.2,12.01845,0.9284815,0.4569765,0.3403242826559881,0,0,0,0,0,0,0,0,12.828,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,67.502,2,2,2,1,2,1,1,2,2,2,2,2,3,320.642,0,0,0,6.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,36.626
0kw0yjeyfmbqohivbcjol0y4,8,9,8,10,14,9,6,0.5777777777777777,50.0,0.86,0.7948717948717949,0.2,3.916325,0.353218,0.9651915,-0.4641755842930439,2,1,0,0,3,2,0,0,41.721,1,1,2,1,1,1,2,0,2,1,2,2,1,0,0,183.973,2,4,3,1,1,1,1,1,3,2,3,2,3,134.627,2,3,1,26.104,1,1,0,0,0,1,1,1,0,1,1,0,1,1,2,85.357
0lq9i4x81dgnwglgvgnh34rj,0,2,0,5,8,0,4,0.6666666666666666,57.0,0.9824561403508772,0.46875,0.2533333333333333,10.1088,0.624225,0.3384574999999999,0.2968450138025778,0,0,0,0,0,0,0,0,44.454,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,143.86,1,2,1,1,1,1,1,1,1,1,1,1,3,55.767,1,2,1,28.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,56.383
0piu71owxiz9tgsitq7ktqh6,15,15,15,6,15,6,11,0.5888888888888889,54.0,0.981132075471698,1.0,0.24,5.451965,0.902129,0.9737155,-0.0381622783764859,2,3,2,2,2,2,2,3,13.061,3,2,3,2,3,2,3,1,3,2,1,2,1,2,3,37.804,1,2,2,1,2,3,2,2,1,2,1,2,3,23.623,4,4,3,20.59,0,0,0,1,0,0,0,0,1,1,0,1,1,1,3,28.141
